Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Peru,147528937028.778,147528937028.778,5022.49319096369,5022.49319096369,34.77,1.27500836314038,29373646.0
Philippines,199590775190.258,199590775190.258,2129.49924655622,2129.49924655622,25.0,1.6195731471024901,93726624.0
Poland,479257883741.752,479257883741.752,12597.862389964099,12597.862389964099,62.32,-0.285609121534849,38042794.0
Portugal,238303443425.21,238303443425.21,22538.654077348197,22538.654077348197,53.3,0.0459100367184907,10573100.0
Puerto Rico,98381268000.0,98381268000.0,26435.7401871545,26435.7401871545,45.3,-0.506170056982176,3721525.0
Qatar,125122306346.154,125122306346.154,70306.2278449301,70306.2278449301,69.0,11.2206863282288,1779676.0
Romania,167998080493.40802,167998080493.40802,8297.48362072379,8297.48362072379,39.93,-0.593959183588628,20246871.0
Russian Federation,1524916112078.87,1524916112078.87,10674.987707365,10674.987707365,43.0,0.0448873898392816,142849449.0
Rwanda,5774003744.2708,5774003744.2708,563.491048683175,563.491048683175,8.0,2.66424148029303,10246842.0
Samoa,643046733.3911259,643046733.3911259,3453.4342976350104,3453.4342976350104,7.0,0.743337537684206,186205.0
San Marino,2139072847.6821198,2139072847.6821198,68758.36861723299,68758.36861723299,,1.25177511481354,31110.0
Sao Tome and Principe,197454053.144483,197454053.144483,1129.754961462,1129.754961462,18.75,2.29357631535468,174776.0
Saudi Arabia,528207200000.0,528207200000.0,19259.5872568465,19259.5872568465,41.0,2.82593777247208,27425676.0
Senegal,12948906288.5576,12948906288.5576,1002.52994032218,1002.52994032218,8.0,2.86908520486472,12916229.0
Serbia,39460357730.5224,39460357730.5224,5411.87740391911,5411.87740391911,40.9,-0.402005900874718,7291436.0
Seychelles,969936525.298729,969936525.298729,10804.6844747547,10804.6844747547,41.0,2.79232906929128,89770.0
Sierra Leone,2616610911.07222,2616610911.07222,405.128401768805,405.128401768805,0.58,2.32542756052049,6458720.0
Singapore,236421782178.21802,236421782178.21802,46569.6795060716,46569.6795060716,71.0,1.77183287926401,5076732.0
Sint Maarten (Dutch part),,,,,,-3.3335120918587298,37850.0
Slovak Republic,89501012915.7314,89501012915.7314,16600.6135880385,16600.6135880385,75.71,0.0931912731899838,5391428.0
Slovenia,48013606745.4803,48013606745.4803,23437.472021138703,23437.472021138703,70.0,0.43607948463593,2048583.0
Solomon Islands,671585343.170686,671585343.170686,1272.4480251059802,1272.4480251059802,5.0,2.24386227810355,527790.0
Somalia,,,,,,2.90605783404768,12053223.0
South Africa,375298134440.469,375298134440.469,7361.7558503562095,7361.7558503562095,24.0,1.42960403336828,50979432.3622277
South Asia,2042141855806.9,2042141855806.9,1252.28698557692,1252.28698557692,7.20654564155376,1.4411639180055702,1630729920.0
South Sudan,,15728045817.4245,,1582.1505029786,,4.32056510696823,9940929.0
Spain,1431616749640.29,1431616749640.29,30736.6278530812,30736.6278530812,65.8,0.460408305051304,46576897.0
Sri Lanka,56725745039.336,56725745039.336,2819.5111605614597,2819.5111605614597,12.0,0.7533650020082121,20119000.0
St. Kitts and Nevis,705015370.37037,705015370.37037,13704.254453695601,13704.254453695601,63.0,1.09254392201555,51445.0
St. Lucia,1381968259.25926,1381968259.25926,8007.69648429285,8007.69648429285,43.3,0.9068693882082259,172580.0
St. Martin (French part),,,,,,1.3820884388583898,30235.0
St. Vincent and the Grenadines,681225962.962963,681225962.962963,6231.770232474621,6231.770232474621,33.7,0.0567329175935609,109315.0
Sub-Saharan Africa,1365815003522.17,1365815003522.17,1557.3306414553501,1557.3306414553501,7.15498989881471,2.78755354005634,877023136.362228
Sub-Saharan Africa (excluding high income),1364845197859.64,1364845197859.64,1556.38415666793,1556.38415666793,7.151372933414249,2.7875490248539,876933366.362228
